data,descricao,valor,categoria
2025-01-01,Supermercado Pão de Açúcar,250.0,Alimentação
2025-01-02,Uber corrida trabalho,32.0,Transporte
2025-01-03,Pagamento salário empresa X,4500.0,Renda
2025-01-04,Conta de luz,130.5,Moradia
2025-01-05,Assinatura Netflix,39.9,Lazer
2025-01-06,Almoço restaurante local,55.0,Alimentação
2025-01-07,Gasolina posto Shell,180.0,Transporte
2025-01-08,Pagamento de aluguel,1200.0,Moradia
2025-01-09,Spotify Premium,19.9,Lazer
2025-01-10,Compra feira orgânica,90.0,Alimentação
2025-01-11,Passagem ônibus,4.5,Transporte
2025-01-12,Conta de água,78.25,Moradia
2025-01-13,Ingresso cinema,45.0,Lazer
2025-01-14,Jantar fast food,35.0,Alimentação
2025-01-15,Uber para casa,28.0,Transporte
2025-01-16,IPTU parcela mensal,200.0,Moradia
2025-01-17,Disney+,29.9,Lazer
2025-01-18,Compra supermercado,310.0,Alimentação
2025-01-19,Transporte metrô,6.5,Transporte
2025-01-20,Conta internet,99.9,Moradia
2025-01-21,Amazon Prime Video,14.9,Lazer
2025-01-22,Restaurante japonês,88.0,Alimentação
2025-01-23,Manutenção carro,450.0,Transporte
2025-01-24,Financiamento casa,1500.0,Moradia
2025-01-25,Show ao vivo,120.0,Lazer
2025-01-26,Padaria manhã,18.0,Alimentação
2025-01-27,Bilhete único mensal,220.0,Transporte
2025-01-28,Conta gás encanado,75.0,Moradia
2025-01-29,Curso online Udemy,65.0,Investimento
2025-01-30,Café coworking,22.0,Alimentação
2025-02-01,Estacionamento shopping,15.0,Transporte
2025-02-02,Seguro residencial,89.0,Moradia
2025-02-03,Ingresso teatro,80.0,Lazer
2025-02-04,Delivery hamburguer,40.0,Alimentação
2025-02-05,Revisão carro,600.0,Transporte
2025-02-06,Condomínio mensal,350.0,Moradia
2025-02-07,Spotify Duo,24.9,Lazer
2025-02-08,Feira semanal,110.0,Alimentação
2025-02-09,Uber para trabalho,33.0,Transporte
2025-02-10,Conta de luz,135.0,Moradia
2025-02-11,Assinatura Globoplay,22.9,Lazer
2025-02-12,Jantar em pizzaria,67.0,Alimentação
2025-02-13,Gasolina BR,175.0,Transporte
2025-02-14,Pagamento aluguel,1250.0,Moradia
2025-02-15,Netflix Premium,55.9,Lazer
2025-02-16,Supermercado Atacadão,290.0,Alimentação
2025-02-17,Bike elétrica aluguel,9.9,Transporte
2025-02-18,Internet fibra,110.0,Moradia
2025-02-19,Curso finanças,150.0,Investimento
2025-02-20,Comida natural delivery,52.0,Alimentação
2025-02-21,Uber para evento,30.0,Transporte
2025-02-22,Seguro residencial,92.0,Moradia
2025-02-23,Assinatura Star+,32.9,Lazer
2025-02-24,Café padaria,14.0,Alimentação
2025-02-25,Transporte fretado,210.0,Transporte
2025-02-26,IPVA parcela,300.0,Moradia
2025-02-27,Livro Amazon,48.0,Investimento
2025-02-28,Lanche rápido,29.0,Alimentação
2025-03-01,Aplicativo mobilidade,23.0,Transporte
2025-03-02,Conta energia,140.0,Moradia
2025-03-03,Cinema com amigos,50.0,Lazer
2025-03-04,Restaurante árabe,75.0,Alimentação
2025-03-05,Gasolina Ipiranga,165.0,Transporte
2025-03-06,Aluguel mensal,1300.0,Moradia
2025-03-07,HBO Max,27.9,Lazer
2025-03-08,Feira livre,80.0,Alimentação
2025-03-09,Transporte intermunicipal,35.0,Transporte
2025-03-10,Água e esgoto,90.0,Moradia
2025-03-11,Curso Excel,100.0,Investimento
2025-03-12,Delivery comida japonesa,120.0,Alimentação
2025-03-13,Uber reunião,26.0,Transporte
2025-03-14,Condomínio predial,360.0,Moradia
2025-03-15,Apple TV+,21.9,Lazer
2025-03-16,Supermercado bairro,200.0,Alimentação
2025-03-17,Bilhete metrô,6.0,Transporte
2025-03-18,Conta gás,80.0,Moradia
2025-03-19,E-book Amazon,35.0,Investimento
2025-03-20,Lanche tarde,18.0,Alimentação
2025-03-21,Uber aeroporto,55.0,Transporte
2025-03-22,Seguro incêndio,95.0,Moradia
2025-03-23,Playstation Plus,59.9,Lazer
2025-03-24,Almoço delivery,43.0,Alimentação
2025-03-25,Combustível posto local,190.0,Transporte
2025-03-26,Aluguel quitinete,1100.0,Moradia
2025-03-27,Netflix Standard,39.9,Lazer
2025-03-28,Hortifruti mercado,120.0,Alimentação
2025-03-29,Passagem ônibus,5.0,Transporte
2025-03-30,Luz e energia,137.0,Moradia
2025-03-31,Curso Python,89.0,Investimento
